,stageSubmissionTime,launchTime,finishTime,jobId,status,stageId,name,taskId,index,attempt,executorId,duration,sojournTime,waitingTime,taskLocality,executorDeserializeTime,executorRunTime,executorCpuTime,executorDeserializeCpuTime,resultSize,gettingResultTime,jvmGcTime,resultSerializationTime,memoryBytesSpilled,diskBytesSpilled,peakExecutionMemory,bytesRead,recordsRead,readTime,locationExecId,readMethod,cachedBlock,bytesWritten, recordsWritten,shuffleRemoteBlocksFetched,shuffleLocalBlocksFetched,shuffleFetchWaitTime, remoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleLocalBytesRead,shuffleRecordsRead, shuffleBytesWritten,shuffleWriteTime,shuffleRecordsWritten,stageCompletionTime,measuredRunTime
1641,1569563723889,1569563739663,1569563739780,2,-,0,count at DistributedBlocking.scala:90,1728,128,0,33,117.0,21579.0,15774.0,PROCESS_LOCAL,0.0,113.0,111654560.0,1042905.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1640,1569563723889,1569563741680,1569563741818,2,-,0,count at DistributedBlocking.scala:90,2132,532,0,35,138.0,21579.0,17791.0,PROCESS_LOCAL,1.0,133.0,132443921.0,861330.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1639,1569563723889,1569563741323,1569563741336,2,-,0,count at DistributedBlocking.scala:90,2060,460,0,46,13.0,21579.0,17434.0,PROCESS_LOCAL,1.0,7.0,6835014.0,1245680.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1638,1569563723889,1569563739624,1569563739658,2,-,0,count at DistributedBlocking.scala:90,1719,119,0,7,34.0,21579.0,15735.0,PROCESS_LOCAL,1.0,29.0,28508596.0,929099.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1637,1569563723889,1569563741303,1569563741318,2,-,0,count at DistributedBlocking.scala:90,2051,451,0,42,15.0,21579.0,17414.0,PROCESS_LOCAL,2.0,9.0,9427762.0,1027697.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1636,1569563723889,1569563739598,1569563739606,2,-,0,count at DistributedBlocking.scala:90,1710,110,0,30,8.0,21579.0,15709.0,PROCESS_LOCAL,2.0,2.0,2362147.0,1135223.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1635,1569563723889,1569563742953,1569563743128,2,-,0,count at DistributedBlocking.scala:90,2392,792,0,46,175.0,21579.0,19064.0,PROCESS_LOCAL,1.0,168.0,167492454.0,1020003.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1634,1569563723889,1569563742915,1569563743013,2,-,0,count at DistributedBlocking.scala:90,2383,783,0,2,98.0,21579.0,19026.0,PROCESS_LOCAL,1.0,93.0,92581527.0,915854.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1633,1569563723889,1569563740178,1569563740199,2,-,0,count at DistributedBlocking.scala:90,1845,245,0,45,21.0,21579.0,16289.0,PROCESS_LOCAL,1.0,16.0,15502916.0,967083.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1632,1569563723889,1569563741902,1569563741925,2,-,0,count at DistributedBlocking.scala:90,2177,577,0,2,23.0,21579.0,18013.0,PROCESS_LOCAL,1.0,18.0,17655377.0,784662.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1631,1569563723889,1569563741523,1569563741631,2,-,0,count at DistributedBlocking.scala:90,2105,505,0,30,108.0,21579.0,17634.0,PROCESS_LOCAL,0.0,104.0,102631803.0,874142.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1630,1569563723889,1569563741406,1569563741577,2,-,0,count at DistributedBlocking.scala:90,2078,478,0,18,171.0,21579.0,17517.0,PROCESS_LOCAL,2.0,165.0,165134278.0,1079815.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1629,1569563723889,1569563739860,1569563739870,2,-,0,count at DistributedBlocking.scala:90,1764,164,0,15,10.0,21579.0,15971.0,PROCESS_LOCAL,2.0,4.0,4176248.0,1174225.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1628,1569563723889,1569563741360,1569563741447,2,-,0,count at DistributedBlocking.scala:90,2069,469,0,30,87.0,21579.0,17471.0,PROCESS_LOCAL,2.0,80.0,80307187.0,1191238.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1627,1569563723889,1569563741482,1569563741607,2,-,0,count at DistributedBlocking.scala:90,2096,496,0,7,125.0,21579.0,17593.0,PROCESS_LOCAL,0.0,119.0,117887372.0,1225674.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1626,1569563723889,1569563739802,1569563739853,2,-,0,count at DistributedBlocking.scala:90,1755,155,0,45,51.0,21579.0,15913.0,PROCESS_LOCAL,2.0,45.0,44946781.0,1574473.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1624,1569563723889,1569563742659,1569563742822,2,-,0,count at DistributedBlocking.scala:90,2338,738,0,42,163.0,21579.0,18770.0,PROCESS_LOCAL,0.0,158.0,156609485.0,1094929.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1798,1569563723889,1569563740141,1569563740152,2,-,0,count at DistributedBlocking.scala:90,1835,235,0,10,11.0,21579.0,16252.0,PROCESS_LOCAL,2.0,3.0,3167641.0,1710598.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1698,1569563723889,1569563740723,1569563740755,2,-,0,count at DistributedBlocking.scala:90,1946,346,0,33,32.0,21579.0,16834.0,PROCESS_LOCAL,1.0,27.0,26492939.0,1019028.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1700,1569563723889,1569563742427,1569563742482,2,-,0,count at DistributedBlocking.scala:90,2287,687,0,35,55.0,21579.0,18538.0,PROCESS_LOCAL,1.0,47.0,46614771.0,1129314.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1771,1569563723889,1569563742489,1569563742608,2,-,0,count at DistributedBlocking.scala:90,2302,702,0,34,119.0,21579.0,18600.0,PROCESS_LOCAL,4.0,109.0,109944851.0,2619002.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1770,1569563723889,1569563740279,1569563740319,2,-,0,count at DistributedBlocking.scala:90,1862,262,0,47,40.0,21579.0,16390.0,PROCESS_LOCAL,2.0,30.0,30373972.0,951478.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1769,1569563723889,1569563742032,1569563742043,2,-,0,count at DistributedBlocking.scala:90,2203,603,0,35,11.0,21579.0,18143.0,PROCESS_LOCAL,1.0,4.0,3941584.0,1066689.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1768,1569563723889,1569563739352,1569563739528,2,-,0,count at DistributedBlocking.scala:90,1656,56,0,47,176.0,21579.0,15463.0,PROCESS_LOCAL,2.0,170.0,170103058.0,1076665.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1767,1569563723889,1569563741052,1569563741098,2,-,0,count at DistributedBlocking.scala:90,1997,397,0,2,46.0,21579.0,17163.0,PROCESS_LOCAL,1.0,41.0,40474129.0,972943.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1766,1569563723889,1569563739454,1569563739476,2,-,0,count at DistributedBlocking.scala:90,1674,74,0,10,22.0,21579.0,15565.0,PROCESS_LOCAL,0.0,16.0,14882119.0,1361433.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1765,1569563723889,1569563740992,1569563741025,2,-,0,count at DistributedBlocking.scala:90,1988,388,0,31,33.0,21579.0,17103.0,PROCESS_LOCAL,0.0,29.0,27611880.0,998250.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1764,1569563723889,1569563742260,1569563742310,2,-,0,count at DistributedBlocking.scala:90,2248,648,0,18,50.0,21579.0,18371.0,PROCESS_LOCAL,0.0,46.0,44518238.0,1049007.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1763,1569563723889,1569563740501,1569563740515,2,-,0,count at DistributedBlocking.scala:90,1907,307,0,33,14.0,21579.0,16612.0,PROCESS_LOCAL,0.0,8.0,6744864.0,1287153.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1762,1569563723889,1569563742223,1569563742268,2,-,0,count at DistributedBlocking.scala:90,2239,639,0,42,45.0,21579.0,18334.0,PROCESS_LOCAL,2.0,39.0,39455483.0,977930.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1761,1569563723889,1569563741868,1569563741882,2,-,0,count at DistributedBlocking.scala:90,2167,567,0,10,14.0,21579.0,17979.0,PROCESS_LOCAL,0.0,9.0,7644245.0,1195637.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1760,1569563723889,1569563724099,1569563745359,2,-,0,count at DistributedBlocking.scala:90,11,11,0,13,21260.0,21579.0,210.0,PROCESS_LOCAL,20996.0,183.0,160829366.0,1046036672.0,832,0.0,0,1.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1759,1569563723889,1569563742620,1569563742699,2,-,0,count at DistributedBlocking.scala:90,2326,726,0,10,79.0,21579.0,18731.0,PROCESS_LOCAL,0.0,74.0,72652685.0,1132784.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1758,1569563723889,1569563740588,1569563740660,2,-,0,count at DistributedBlocking.scala:90,1922,322,0,2,72.0,21579.0,16699.0,PROCESS_LOCAL,0.0,67.0,65877479.0,1068207.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1757,1569563723889,1569563740954,1569563740970,2,-,0,count at DistributedBlocking.scala:90,1985,385,0,33,16.0,21579.0,17065.0,PROCESS_LOCAL,2.0,10.0,10271663.0,1368699.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1756,1569563723889,1569563740550,1569563740657,2,-,0,count at DistributedBlocking.scala:90,1913,313,0,10,107.0,21579.0,16661.0,PROCESS_LOCAL,2.0,89.0,89012077.0,1610785.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1755,1569563723889,1569563742105,1569563742134,2,-,0,count at DistributedBlocking.scala:90,2218,618,0,31,29.0,21579.0,18216.0,PROCESS_LOCAL,1.0,24.0,23470165.0,1027505.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1754,1569563723889,1569563739576,1569563739603,2,-,0,count at DistributedBlocking.scala:90,1707,107,0,45,27.0,21579.0,15687.0,PROCESS_LOCAL,0.0,23.0,21848892.0,888878.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1753,1569563723889,1569563739449,1569563739527,2,-,0,count at DistributedBlocking.scala:90,1671,71,0,46,78.0,21579.0,15560.0,PROCESS_LOCAL,0.0,73.0,71720619.0,942492.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1752,1569563723889,1569563742741,1569563742797,2,-,0,count at DistributedBlocking.scala:90,2353,753,0,30,56.0,21579.0,18852.0,PROCESS_LOCAL,2.0,49.0,49409925.0,1231660.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1751,1569563723889,1569563741248,1569563741292,2,-,0,count at DistributedBlocking.scala:90,2039,439,0,46,44.0,21579.0,17359.0,PROCESS_LOCAL,1.0,39.0,38613688.0,922041.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1772,1569563723889,1569563740463,1569563740537,2,-,0,count at DistributedBlocking.scala:90,1898,298,0,7,74.0,21579.0,16574.0,PROCESS_LOCAL,0.0,68.0,66840603.0,1186054.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1750,1569563723889,1569563739550,1569563739646,2,-,0,count at DistributedBlocking.scala:90,1698,98,0,35,96.0,21579.0,15661.0,PROCESS_LOCAL,1.0,90.0,89565772.0,907079.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1773,1569563723889,1569563740836,1569563740894,2,-,0,count at DistributedBlocking.scala:90,1970,370,0,7,58.0,21579.0,16947.0,PROCESS_LOCAL,2.0,51.0,51057001.0,1257930.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1775,1569563723889,1569563724101,1569563745298,2,-,0,count at DistributedBlocking.scala:90,29,29,0,41,21197.0,21579.0,212.0,PROCESS_LOCAL,20888.0,233.0,226282238.0,914139823.0,832,0.0,0,1.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1796,1569563723889,1569563724097,1569563745180,2,-,0,count at DistributedBlocking.scala:90,2,2,0,39,21083.0,21579.0,208.0,PROCESS_LOCAL,20883.0,126.0,68569163.0,1023243152.0,832,0.0,0,1.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1795,1569563723889,1569563742360,1569563742411,2,-,0,count at DistributedBlocking.scala:90,2275,675,0,10,51.0,21579.0,18471.0,PROCESS_LOCAL,0.0,46.0,44735601.0,1031719.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1794,1569563723889,1569563740657,1569563740729,2,-,0,count at DistributedBlocking.scala:90,1934,334,0,10,72.0,21579.0,16768.0,PROCESS_LOCAL,2.0,63.0,61751597.0,2344760.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1793,1569563723889,1569563724100,1569563745146,2,-,0,count at DistributedBlocking.scala:90,20,20,0,20,21046.0,21579.0,211.0,PROCESS_LOCAL,20880.0,65.0,59797393.0,916368559.0,832,0.0,0,1.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1792,1569563723889,1569563740799,1569563740943,2,-,0,count at DistributedBlocking.scala:90,1961,361,0,33,144.0,21579.0,16910.0,PROCESS_LOCAL,1.0,138.0,137969140.0,1175372.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1791,1569563723889,1569563742327,1569563742467,2,-,0,count at DistributedBlocking.scala:90,2266,666,0,18,140.0,21579.0,18438.0,PROCESS_LOCAL,0.0,133.0,131780159.0,968258.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1790,1569563723889,1569563740608,1569563740694,2,-,0,count at DistributedBlocking.scala:90,1925,325,0,35,86.0,21579.0,16719.0,PROCESS_LOCAL,2.0,80.0,77730978.0,1024927.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1789,1569563723889,1569563740108,1569563740177,2,-,0,count at DistributedBlocking.scala:90,1826,226,0,46,69.0,21579.0,16219.0,PROCESS_LOCAL,0.0,63.0,61790532.0,862682.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1788,1569563723889,1569563740213,1569563740310,2,-,0,count at DistributedBlocking.scala:90,1853,253,0,30,97.0,21579.0,16324.0,PROCESS_LOCAL,0.0,92.0,90633789.0,1236490.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1787,1569563723889,1569563741983,1569563741991,2,-,0,count at DistributedBlocking.scala:90,2194,594,0,42,8.0,21579.0,18094.0,PROCESS_LOCAL,2.0,2.0,2383548.0,1012843.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1786,1569563723889,1569563741818,1569563741829,2,-,0,count at DistributedBlocking.scala:90,2158,558,0,31,11.0,21579.0,17929.0,PROCESS_LOCAL,2.0,4.0,4411917.0,1147736.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1785,1569563723889,1569563740176,1569563740185,2,-,0,count at DistributedBlocking.scala:90,1844,244,0,46,9.0,21579.0,16287.0,PROCESS_LOCAL,1.0,1.0,921954.0,1092707.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1784,1569563723889,1569563741939,1569563742183,2,-,0,count at DistributedBlocking.scala:90,2185,585,0,30,244.0,21579.0,18050.0,PROCESS_LOCAL,2.0,238.0,238282838.0,1150813.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1783,1569563723889,1569563741900,1569563741934,2,-,0,count at DistributedBlocking.scala:90,2176,576,0,7,34.0,21579.0,18011.0,PROCESS_LOCAL,2.0,27.0,26507062.0,2312930.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1782,1569563723889,1569563724103,1569563745224,2,-,0,count at DistributedBlocking.scala:90,47,47,0,44,21121.0,21579.0,214.0,PROCESS_LOCAL,20904.0,116.0,99806223.0,1031777430.0,789,0.0,0,2.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1781,1569563723889,1569563740754,1569563740889,2,-,0,count at DistributedBlocking.scala:90,1952,352,0,31,135.0,21579.0,16865.0,PROCESS_LOCAL,2.0,129.0,129224938.0,1292674.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1780,1569563723889,1569563742461,1569563742498,2,-,0,count at DistributedBlocking.scala:90,2293,693,0,33,37.0,21579.0,18572.0,PROCESS_LOCAL,0.0,29.0,27778933.0,1212522.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1779,1569563723889,1569563740893,1569563740945,2,-,0,count at DistributedBlocking.scala:90,1979,379,0,7,52.0,21579.0,17004.0,PROCESS_LOCAL,1.0,46.0,45390706.0,1493381.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1778,1569563723889,1569563724102,1569563745070,2,-,0,count at DistributedBlocking.scala:90,38,38,0,6,20968.0,21579.0,213.0,PROCESS_LOCAL,20655.0,220.0,191007560.0,1030967501.0,832,0.0,0,1.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1777,1569563723889,1569563742418,1569563742492,2,-,0,count at DistributedBlocking.scala:90,2284,684,0,10,74.0,21579.0,18529.0,PROCESS_LOCAL,2.0,68.0,67505337.0,1813671.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1776,1569563723889,1569563740697,1569563740780,2,-,0,count at DistributedBlocking.scala:90,1943,343,0,45,83.0,21579.0,16808.0,PROCESS_LOCAL,0.0,79.0,77813550.0,1035992.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1774,1569563723889,1569563742550,1569563742599,2,-,0,count at DistributedBlocking.scala:90,2311,711,0,15,49.0,21579.0,18661.0,PROCESS_LOCAL,2.0,43.0,43339125.0,1072752.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1699,1569563723889,1569563742300,1569563742342,2,-,0,count at DistributedBlocking.scala:90,2260,660,0,31,42.0,21579.0,18411.0,PROCESS_LOCAL,2.0,36.0,36118520.0,1191426.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1749,1569563723889,1569563741114,1569563741124,2,-,0,count at DistributedBlocking.scala:90,2012,412,0,30,10.0,21579.0,17225.0,PROCESS_LOCAL,0.0,5.0,3821865.0,1012496.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1747,1569563723889,1569563742317,1569563742461,2,-,0,count at DistributedBlocking.scala:90,2263,663,0,33,144.0,21579.0,18428.0,PROCESS_LOCAL,2.0,135.0,135450110.0,1134876.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1721,1569563723889,1569563742482,1569563742559,2,-,0,count at DistributedBlocking.scala:90,2299,699,0,35,77.0,21579.0,18593.0,PROCESS_LOCAL,2.0,68.0,67834684.0,1797575.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1720,1569563723889,1569563740728,1569563740770,2,-,0,count at DistributedBlocking.scala:90,1949,349,0,10,42.0,21579.0,16839.0,PROCESS_LOCAL,0.0,34.0,32633650.0,1242189.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1719,1569563723889,1569563724098,1569563745223,2,-,0,count at DistributedBlocking.scala:90,8,8,0,49,21125.0,21579.0,209.0,PROCESS_LOCAL,20954.0,76.0,74339816.0,926125087.0,832,0.0,0,1.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1718,1569563723889,1569563742437,1569563742602,2,-,0,count at DistributedBlocking.scala:90,2290,690,0,30,165.0,21579.0,18548.0,PROCESS_LOCAL,0.0,160.0,158626542.0,984710.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1717,1569563723889,1569563740889,1569563740992,2,-,0,count at DistributedBlocking.scala:90,1976,376,0,31,103.0,21579.0,17000.0,PROCESS_LOCAL,2.0,97.0,97273192.0,1127033.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1716,1569563723889,1569563724102,1569563744925,2,-,0,count at DistributedBlocking.scala:90,35,35,0,37,20823.0,21579.0,213.0,PROCESS_LOCAL,20565.0,196.0,186294629.0,1010965014.0,789,0.0,0,1.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1715,1569563723889,1569563742386,1569563742488,2,-,0,count at DistributedBlocking.scala:90,2281,681,0,15,102.0,21579.0,18497.0,PROCESS_LOCAL,1.0,96.0,95973738.0,1191844.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1714,1569563723889,1569563742050,1569563742086,2,-,0,count at DistributedBlocking.scala:90,2209,609,0,15,36.0,21579.0,18161.0,PROCESS_LOCAL,2.0,30.0,30198007.0,1216753.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1713,1569563723889,1569563742013,1569563742101,2,-,0,count at DistributedBlocking.scala:90,2200,600,0,34,88.0,21579.0,18124.0,PROCESS_LOCAL,2.0,81.0,80218798.0,2331884.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1712,1569563723889,1569563739702,1569563739709,2,-,0,count at DistributedBlocking.scala:90,1734,134,0,2,7.0,21579.0,15813.0,PROCESS_LOCAL,0.0,2.0,887274.0,1207522.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1711,1569563723889,1569563739388,1569563739422,2,-,0,count at DistributedBlocking.scala:90,1662,62,0,7,34.0,21579.0,15499.0,PROCESS_LOCAL,2.0,28.0,28171887.0,1101507.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
